Nom de l'annonce,Produit,Créateur,Type de contenu,Angle marketing,Hook,Mois,Statut,Budget dépensé (€),Conversions (achats),Revenu estimé (€),ROAS,Coût par conversion (€),Impressions,Clics,Taux de clic (%),Date de lancement
Créa UGC AG1 Powder - Marie,AG1 Powder,Marie Dubois,UGC,Accessoire,Mon cœur me remercie,Août 2025,En pause,2831.17,144,4586.50,1.62,19.66,168023,6519,3.88,2025-08-21
Créa UGC AG1 Powder - Kevin,AG1 Powder,Kevin Taylor,UGC,Convenience,Emportez AG1 partout,Novembre 2025,En pause,1616.27,88,1616.27,1.00,18.37,196611,7373,3.75,2025-11-14
Créa Motion/Vidéo AG1 Travel Packs - Pierre,AG1 Travel Packs,Pierre Moreau,Motion/Vidéo,Éducation,L'importance d'un bon mélange,Août 2025,Archivée,1974.74,90,3831.00,1.94,21.94,105410,3025,2.87,2025-08-05
Créa Témoignage AG1 Powder - Dr.,AG1 Powder,Dr. Michael Lee,Témoignage,Éducation,Mon expérience avec Omega-3,Juillet 2025,En pause,2045.20,127,5337.97,2.61,16.10,169011,3566,2.11,2025-07-02
Créa Motion/Vidéo Vitamine D3+K2 - Julie,Vitamine D3+K2,Julie Bernard,Motion/Vidéo,Santé,Pourquoi les nutritionnistes recommandent AG1,Août 2025,Archivée,2832.60,46,5127.01,1.81,61.58,271046,6857,2.53,2025-08-23
Créa Témoignage Abonnement - Emma,Abonnement,Emma Wilson,Témoignage,Valeur,Je bois AG1 depuis 3 mois,Octobre 2025,En ligne,1760.81,121,4313.98,2.45,14.55,142912,5516,3.86,2025-10-18
Créa Motion/Vidéo Bundle Complet - Tom,Bundle Complet,Tom Brown,Motion/Vidéo,Convenience,N'oubliez plus jamais,Août 2025,En ligne,2536.41,37,8547.70,3.37,68.55,221683,4434,2.00,2025-08-16
Créa Témoignage Abonnement - Pierre,Abonnement,Pierre Moreau,Témoignage,Santé,Économisez avec le bundle,Novembre 2025,En ligne,1176.92,35,1447.61,1.23,33.63,139742,4877,3.49,2025-11-10
Créa UGC Bundle Complet - Tom,Bundle Complet,Tom Brown,UGC,Accessoire,Parfait pour voyager,Juillet 2025,En pause,2603.24,93,7861.78,3.02,27.99,173714,6914,3.98,2025-07-01
Créa Témoignage AG1 Powder - Marie,AG1 Powder,Marie Dubois,Témoignage,Valeur,Mon expérience avec Omega-3,Août 2025,Archivée,2401.61,35,7901.30,3.29,68.62,172294,6151,3.57,2025-08-28
Créa Podcast Bundle Complet - Dr.,Bundle Complet,Dr. Robert White,Podcast,Valeur,Essentiel en hiver,Août 2025,En pause,1485.00,83,4930.20,3.32,17.89,278445,9773,3.51,2025-08-22
Créa Témoignage AG1 Travel Packs - Lisa,AG1 Travel Packs,Lisa Garcia,Témoignage,Accessoire,Boostez votre immunité,Septembre 2025,Archivée,1429.74,120,1901.55,1.33,11.91,132879,4239,3.19,2025-09-08
Créa Témoignage Omega-3 - Sophie,Omega-3,Sophie Martin,Témoignage,Accessoire,Mon expérience avec Omega-3,Octobre 2025,En pause,2860.42,127,5863.86,2.05,22.52,163896,5064,3.09,2025-10-23
Créa UGC Bundle Complet - Dr.,Bundle Complet,Dr. Robert White,UGC,Convenience,Le shaker qui change tout,Octobre 2025,En ligne,951.84,20,2151.16,2.26,47.59,112339,3415,3.04,2025-10-20
Créa Podcast AG1 Travel Packs - Claire,AG1 Travel Packs,Claire Anderson,Podcast,Convenience,N'oubliez plus jamais,Octobre 2025,Archivée,2539.31,144,5941.99,2.34,17.63,161063,5428,3.37,2025-10-18
Créa UGC Bundle Complet - Marc,Bundle Complet,Marc Petit,UGC,Éducation,Le shaker qui change tout,Octobre 2025,Arrêtée,1569.31,132,3044.46,1.94,11.89,182828,6106,3.34,2025-10-11
Créa Podcast Shaker - Sophie,Shaker,Sophie Martin,Podcast,Éducation,Mon cœur me remercie,Août 2025,Arrêtée,1090.28,71,1253.82,1.15,15.36,287529,7505,2.61,2025-08-26
Créa UGC AG1 Powder - Marc,AG1 Powder,Marc Petit,UGC,Santé,Le meilleur rapport qualité-prix,Juillet 2025,En ligne,2489.86,48,5651.98,2.27,51.87,93682,2857,3.05,2025-07-10
Créa Podcast Omega-3 - Julie,Omega-3,Julie Bernard,Podcast,Santé,Mon cœur me remercie,Octobre 2025,En ligne,1925.84,70,1097.73,0.57,27.51,227722,7014,3.08,2025-10-13
Créa Image statique Abonnement - Sophie,Abonnement,Sophie Martin,Image statique,Santé,Économisez avec le bundle,Juillet 2025,Arrêtée,2832.57,16,5296.91,1.87,177.04,257162,6429,2.50,2025-07-13
Créa Podcast Vitamine D3+K2 - Claire,Vitamine D3+K2,Claire Anderson,Podcast,Testimonial,Ma transformation en 2 mois,Juillet 2025,Archivée,653.86,100,1981.20,3.03,6.54,75586,2003,2.65,2025-07-13
Créa Motion/Vidéo Omega-3 - Dr.,Omega-3,Dr. Robert White,Motion/Vidéo,Santé,Boostez votre immunité,Novembre 2025,Arrêtée,1745.68,111,1274.35,0.73,15.73,205531,5878,2.86,2025-11-15
Créa Témoignage Bundle Complet - Dr.,Bundle Complet,Dr. Michael Lee,Témoignage,Accessoire,L'importance d'un bon mélange,Septembre 2025,En ligne,1055.61,43,3156.27,2.99,24.55,162024,4990,3.08,2025-09-03
Créa UGC Abonnement - Dr.,Abonnement,Dr. James Smith,UGC,Convenience,Ma transformation en 2 mois,Octobre 2025,En pause,1146.56,123,2614.16,2.28,9.32,223306,5873,2.63,2025-10-05
Créa Image statique Abonnement - Dr.,Abonnement,Dr. James Smith,Image statique,Convenience,Boostez votre immunité,Octobre 2025,Arrêtée,2178.60,57,4727.56,2.17,38.22,296445,7470,2.52,2025-10-25
Créa Motion/Vidéo Omega-3 - Sophie,Omega-3,Sophie Martin,Motion/Vidéo,Convenience,Le shaker qui change tout,Septembre 2025,En ligne,514.11,42,601.51,1.17,12.24,63245,1815,2.87,2025-09-28
Créa Témoignage Shaker - Sarah,Shaker,Sarah Martin,Témoignage,Testimonial,Le meilleur rapport qualité-prix,Octobre 2025,En ligne,2882.77,35,5361.95,1.86,82.36,179856,4460,2.48,2025-10-08
Créa Image statique Vitamine D3+K2 - Lisa,Vitamine D3+K2,Lisa Garcia,Image statique,Convenience,Le shaker qui change tout,Juillet 2025,Archivée,2582.13,104,2607.95,1.01,24.83,158220,6076,3.84,2025-07-12
Créa Image statique AG1 Powder - Camille,AG1 Powder,Camille Rousseau,Image statique,Santé,Économisez avec le bundle,Septembre 2025,En pause,2901.22,42,4787.01,1.65,69.08,134085,4465,3.33,2025-09-25
Créa Podcast AG1 Travel Packs - Lisa,AG1 Travel Packs,Lisa Garcia,Podcast,Convenience,N'oubliez plus jamais,Septembre 2025,Archivée,1084.52,76,3394.55,3.13,14.27,249825,9618,3.85,2025-09-16
Créa Témoignage AG1 Travel Packs - Tom,AG1 Travel Packs,Tom Brown,Témoignage,Santé,Le meilleur rapport qualité-prix,Juillet 2025,En pause,2188.88,60,4837.42,2.21,36.48,287302,10228,3.56,2025-07-18
Créa Témoignage Vitamine D3+K2 - Emma,Vitamine D3+K2,Emma Wilson,Témoignage,Valeur,Le meilleur rapport qualité-prix,Septembre 2025,En ligne,926.62,40,2548.21,2.75,23.17,261288,9067,3.47,2025-09-12
Créa Témoignage Abonnement - Laura,Abonnement,Laura Davis,Témoignage,Accessoire,N'oubliez plus jamais,Septembre 2025,En pause,1432.01,120,4868.83,3.40,11.93,170284,4053,2.38,2025-09-15
Créa Motion/Vidéo AG1 Powder - Dr.,AG1 Powder,Dr. Robert White,Motion/Vidéo,Convenience,Mon cœur me remercie,Septembre 2025,En ligne,2481.62,39,6402.58,2.58,63.63,66457,1522,2.29,2025-09-22
Créa Témoignage Omega-3 - Sophie,Omega-3,Sophie Martin,Témoignage,Santé,Mon cœur me remercie,Octobre 2025,Arrêtée,2427.38,48,1844.81,0.76,50.57,274892,10501,3.82,2025-10-25
Créa Podcast Omega-3 - Dr.,Omega-3,Dr. Robert White,Podcast,Santé,Boostez votre immunité,Novembre 2025,Arrêtée,616.50,109,1960.47,3.18,5.66,188065,6883,3.66,2025-11-26
Créa Témoignage Bundle Complet - Sarah,Bundle Complet,Sarah Martin,Témoignage,Éducation,Mon expérience avec Omega-3,Novembre 2025,Arrêtée,1835.08,101,1082.70,0.59,18.17,117258,3060,2.61,2025-11-22
Créa UGC Omega-3 - Laura,Omega-3,Laura Davis,UGC,Convenience,L'importance d'un bon mélange,Septembre 2025,Archivée,1339.92,17,3738.38,2.79,78.82,143315,5317,3.71,2025-09-19
Créa UGC Bundle Complet - Tom,Bundle Complet,Tom Brown,UGC,Accessoire,Emportez AG1 partout,Août 2025,En pause,2070.48,52,4389.42,2.12,39.82,119875,2445,2.04,2025-08-03
Créa UGC Omega-3 - Dr.,Omega-3,Dr. Michael Lee,UGC,Valeur,Essentiel en hiver,Juillet 2025,En pause,2337.02,104,2079.95,0.89,22.47,128216,4218,3.29,2025-07-05
Créa Image statique AG1 Powder - Lisa,AG1 Powder,Lisa Garcia,Image statique,Convenience,Économisez avec le bundle,Septembre 2025,Arrêtée,2089.15,26,6977.76,3.34,80.35,59054,2155,3.65,2025-09-14
Créa Image statique Bundle Complet - Sarah,Bundle Complet,Sarah Martin,Image statique,Valeur,Parfait pour voyager,Août 2025,Archivée,2764.32,129,8652.32,3.13,21.43,249753,9266,3.71,2025-08-10
Créa Podcast Abonnement - Emma,Abonnement,Emma Wilson,Podcast,Convenience,Ma transformation en 2 mois,Octobre 2025,En pause,936.21,29,1245.16,1.33,32.28,284613,7741,2.72,2025-10-17
Créa Témoignage Bundle Complet - David,Bundle Complet,David Chen,Témoignage,Accessoire,Mon expérience avec Omega-3,Septembre 2025,En ligne,1710.65,62,4225.31,2.47,27.59,119970,3647,3.04,2025-09-21
Créa Motion/Vidéo AG1 Powder - Pierre,AG1 Powder,Pierre Moreau,Motion/Vidéo,Convenience,Essentiel en hiver,Septembre 2025,En pause,1705.36,53,3291.34,1.93,32.18,141496,3764,2.66,2025-09-02
Créa Image statique Bundle Complet - David,Bundle Complet,David Chen,Image statique,Valeur,Boostez votre immunité,Septembre 2025,Arrêtée,2513.70,113,3116.99,1.24,22.25,67466,1923,2.85,2025-09-09
Créa Motion/Vidéo Bundle Complet - Anna,Bundle Complet,Anna Schmidt,Motion/Vidéo,Valeur,Essentiel en hiver,Août 2025,Archivée,2886.50,106,5801.87,2.01,27.23,299000,11123,3.72,2025-08-25
Créa Image statique AG1 Travel Packs - Dr.,AG1 Travel Packs,Dr. James Smith,Image statique,Santé,Économisez avec le bundle,Octobre 2025,En ligne,1249.37,74,2398.79,1.92,16.88,296749,11425,3.85,2025-10-26
Créa Motion/Vidéo Abonnement - Dr.,Abonnement,Dr. James Smith,Motion/Vidéo,Santé,Mon cœur me remercie,Septembre 2025,Archivée,2698.20,58,7150.23,2.65,46.52,86025,2340,2.72,2025-09-18
Créa UGC AG1 Travel Packs - Dr.,AG1 Travel Packs,Dr. James Smith,UGC,Convenience,N'oubliez plus jamais,Octobre 2025,Arrêtée,2236.00,83,6663.28,2.98,26.94,191573,7012,3.66,2025-10-23
Créa Image statique Omega-3 - Tom,Omega-3,Tom Brown,Image statique,Accessoire,Mon cœur me remercie,Novembre 2025,En ligne,1203.94,109,1938.34,1.61,11.05,62814,2167,3.45,2025-11-05
Créa Podcast Omega-3 - David,Omega-3,David Chen,Podcast,Accessoire,Ne manquez jamais votre dose,Novembre 2025,En ligne,2956.29,99,2956.29,1.00,29.86,187180,4286,2.29,2025-11-01
Créa Motion/Vidéo AG1 Travel Packs - David,AG1 Travel Packs,David Chen,Motion/Vidéo,Santé,Essentiel en hiver,Novembre 2025,Archivée,2127.60,137,2382.91,1.12,15.53,106772,3481,3.26,2025-11-13
Créa UGC AG1 Travel Packs - Lisa,AG1 Travel Packs,Lisa Garcia,UGC,Santé,Ma transformation en 2 mois,Septembre 2025,Arrêtée,1134.46,83,1270.60,1.12,13.67,115621,4093,3.54,2025-09-21
Créa Témoignage Shaker - Claire,Shaker,Claire Anderson,Témoignage,Convenience,Boostez votre immunité,Septembre 2025,En ligne,1414.00,53,4807.60,3.40,26.68,147117,5723,3.89,2025-09-01
Créa Podcast Vitamine D3+K2 - Sarah,Vitamine D3+K2,Sarah Martin,Podcast,Testimonial,Parfait pour voyager,Novembre 2025,Archivée,1530.92,48,3352.71,2.19,31.89,125832,3561,2.83,2025-11-02
Créa UGC Bundle Complet - Alex,Bundle Complet,Alex Johnson,UGC,Convenience,Essentiel en hiver,Juillet 2025,En ligne,2872.38,137,5313.90,1.85,20.97,177395,5499,3.10,2025-07-26
Créa Motion/Vidéo Shaker - Sophie,Shaker,Sophie Martin,Motion/Vidéo,Valeur,Économisez avec le bundle,Novembre 2025,Archivée,2610.00,133,1774.80,0.68,19.62,165297,3984,2.41,2025-11-26
Créa Motion/Vidéo Abonnement - Emma,Abonnement,Emma Wilson,Motion/Vidéo,Éducation,Parfait pour voyager,Juillet 2025,Archivée,2387.72,134,7282.55,3.05,17.82,77152,2762,3.58,2025-07-03
Créa UGC Bundle Complet - Marie,Bundle Complet,Marie Dubois,UGC,Santé,N'oubliez plus jamais,Août 2025,Arrêtée,2597.19,103,8804.47,3.39,25.22,62709,2339,3.73,2025-08-05
Créa Témoignage Abonnement - Alex,Abonnement,Alex Johnson,Témoignage,Santé,L'importance d'un bon mélange,Septembre 2025,Archivée,1976.66,101,6147.41,3.11,19.57,58699,1743,2.97,2025-09-17
Créa Témoignage Abonnement - Julie,Abonnement,Julie Bernard,Témoignage,Accessoire,Parfait pour voyager,Septembre 2025,Arrêtée,1729.59,108,4600.71,2.66,16.01,252460,8584,3.40,2025-09-15
Créa Témoignage AG1 Travel Packs - Sarah,AG1 Travel Packs,Sarah Martin,Témoignage,Santé,Je bois AG1 depuis 3 mois,Novembre 2025,En ligne,2389.39,36,7598.26,3.18,66.37,102944,2193,2.13,2025-11-19
Créa Motion/Vidéo Bundle Complet - Laura,Bundle Complet,Laura Davis,Motion/Vidéo,Éducation,Ma transformation en 2 mois,Septembre 2025,En pause,1617.77,39,2620.79,1.62,41.48,299960,7559,2.52,2025-09-16
Créa Motion/Vidéo AG1 Powder - Emma,AG1 Powder,Emma Wilson,Motion/Vidéo,Valeur,Je bois AG1 depuis 3 mois,Septembre 2025,En ligne,1503.60,131,3789.07,2.52,11.48,299858,9955,3.32,2025-09-06
Créa Image statique Bundle Complet - Sophie,Bundle Complet,Sophie Martin,Image statique,Accessoire,N'oubliez plus jamais,Juillet 2025,Arrêtée,1413.99,33,4185.41,2.96,42.85,125651,3996,3.18,2025-07-06
Créa Témoignage AG1 Travel Packs - Claire,AG1 Travel Packs,Claire Anderson,Témoignage,Accessoire,Ma transformation en 2 mois,Octobre 2025,Archivée,2246.80,62,3325.26,1.48,36.24,181075,5794,3.20,2025-10-23
Créa Témoignage Omega-3 - Laura,Omega-3,Laura Davis,Témoignage,Convenience,Essentiel en hiver,Septembre 2025,En pause,2566.18,40,6287.14,2.45,64.15,171677,5391,3.14,2025-09-08
Créa Podcast Shaker - Pierre,Shaker,Pierre Moreau,Podcast,Accessoire,Ne manquez jamais votre dose,Octobre 2025,En ligne,925.26,73,1906.04,2.06,12.67,188101,4420,2.35,2025-10-03
Créa Podcast Bundle Complet - Julie,Bundle Complet,Julie Bernard,Podcast,Santé,Mon expérience avec Omega-3,Novembre 2025,En ligne,592.06,73,1397.26,2.36,8.11,84180,3300,3.92,2025-11-14
Créa Podcast AG1 Powder - Claire,AG1 Powder,Claire Anderson,Podcast,Éducation,Mon expérience avec Omega-3,Octobre 2025,En pause,1078.41,72,981.35,0.91,14.98,139303,4096,2.94,2025-10-12
Créa Témoignage Abonnement - Claire,Abonnement,Claire Anderson,Témoignage,Valeur,Ma transformation en 2 mois,Juillet 2025,En ligne,1234.33,61,654.19,0.53,20.23,66805,1997,2.99,2025-07-21
Créa Motion/Vidéo Bundle Complet - Sophie,Bundle Complet,Sophie Martin,Motion/Vidéo,Santé,Pourquoi les nutritionnistes recommandent AG1,Août 2025,Archivée,2258.98,48,3930.63,1.74,47.06,154902,4136,2.67,2025-08-08
Créa UGC Omega-3 - Paul,Omega-3,Paul Martinez,UGC,Convenience,Emportez AG1 partout,Août 2025,Arrêtée,1717.56,97,893.13,0.52,17.71,240008,6024,2.51,2025-08-09
Créa Image statique Abonnement - Anna,Abonnement,Anna Schmidt,Image statique,Accessoire,N'oubliez plus jamais,Novembre 2025,En pause,2142.81,63,6128.44,2.86,34.01,197404,6593,3.34,2025-11-05
Créa Podcast Shaker - Kevin,Shaker,Kevin Taylor,Podcast,Éducation,L'importance d'un bon mélange,Août 2025,Archivée,552.47,109,1602.16,2.90,5.07,104489,3532,3.38,2025-08-12
Créa Podcast Shaker - Emma,Shaker,Emma Wilson,Podcast,Testimonial,Le meilleur rapport qualité-prix,Novembre 2025,En ligne,1286.00,29,1324.58,1.03,44.34,67276,1399,2.08,2025-11-28
Créa UGC Omega-3 - Marc,Omega-3,Marc Petit,UGC,Santé,N'oubliez plus jamais,Septembre 2025,En ligne,2880.38,31,3110.81,1.08,92.92,166541,4164,2.50,2025-09-03
Créa UGC Shaker - Paul,Shaker,Paul Martinez,UGC,Testimonial,Je bois AG1 depuis 3 mois,Octobre 2025,Archivée,2058.02,95,3704.44,1.80,21.66,111920,4287,3.83,2025-10-12
Créa Image statique Abonnement - Pierre,Abonnement,Pierre Moreau,Image statique,Testimonial,Emportez AG1 partout,Août 2025,En ligne,2303.39,24,4814.09,2.09,95.97,157149,4997,3.18,2025-08-27
Créa UGC Bundle Complet - David,Bundle Complet,David Chen,UGC,Convenience,Mon expérience avec Omega-3,Septembre 2025,En ligne,2288.57,63,1281.60,0.56,36.33,159013,5025,3.16,2025-09-01
Créa Podcast Shaker - Paul,Shaker,Paul Martinez,Podcast,Éducation,Le meilleur rapport qualité-prix,Juillet 2025,Archivée,2462.58,107,5639.31,2.29,23.01,295562,10167,3.44,2025-07-19
Créa Témoignage AG1 Powder - Anna,AG1 Powder,Anna Schmidt,Témoignage,Valeur,Essentiel en hiver,Octobre 2025,Arrêtée,2014.41,70,1853.26,0.92,28.78,297250,8085,2.72,2025-10-08
Créa Témoignage Omega-3 - Dr.,Omega-3,Dr. James Smith,Témoignage,Valeur,Mon expérience avec Omega-3,Octobre 2025,Arrêtée,2360.29,76,5900.73,2.50,31.06,227609,5941,2.61,2025-10-09
Créa Podcast Vitamine D3+K2 - Alex,Vitamine D3+K2,Alex Johnson,Podcast,Éducation,Emportez AG1 partout,Septembre 2025,En pause,2576.45,63,6621.48,2.57,40.90,273715,9087,3.32,2025-09-16
Créa Image statique AG1 Powder - Dr.,AG1 Powder,Dr. Robert White,Image statique,Éducation,Je bois AG1 depuis 3 mois,Septembre 2025,Arrêtée,1578.21,28,3898.18,2.47,56.36,71350,2818,3.95,2025-09-08
Créa UGC Shaker - Dr.,Shaker,Dr. Michael Lee,UGC,Santé,Économisez avec le bundle,Septembre 2025,Arrêtée,1005.61,51,3388.91,3.37,19.72,129756,3659,2.82,2025-09-01
Créa Podcast Vitamine D3+K2 - Tom,Vitamine D3+K2,Tom Brown,Podcast,Valeur,Mon expérience avec Omega-3,Septembre 2025,En pause,1961.49,26,6551.38,3.34,75.44,128624,4926,3.83,2025-09-25
Créa Image statique Vitamine D3+K2 - Sarah,Vitamine D3+K2,Sarah Martin,Image statique,Convenience,Mon cœur me remercie,Octobre 2025,En pause,2724.84,17,8937.48,3.28,160.28,83033,3288,3.96,2025-10-09
Créa Image statique AG1 Travel Packs - Julie,AG1 Travel Packs,Julie Bernard,Image statique,Testimonial,Parfait pour voyager,Juillet 2025,En ligne,1449.44,65,884.16,0.61,22.30,59531,1619,2.72,2025-07-07
Créa Témoignage Vitamine D3+K2 - Tom,Vitamine D3+K2,Tom Brown,Témoignage,Testimonial,N'oubliez plus jamais,Juillet 2025,Arrêtée,2475.70,82,4431.50,1.79,30.19,139101,3686,2.65,2025-07-17
Créa Image statique AG1 Powder - Kevin,AG1 Powder,Kevin Taylor,Image statique,Santé,Emportez AG1 partout,Septembre 2025,Arrêtée,2421.78,105,3051.44,1.26,23.06,51875,1432,2.76,2025-09-19
Créa UGC Shaker - David,Shaker,David Chen,UGC,Valeur,L'importance d'un bon mélange,Octobre 2025,En pause,892.50,80,1811.78,2.03,11.16,61912,1467,2.37,2025-10-11
Créa Podcast Omega-3 - Marie,Omega-3,Marie Dubois,Podcast,Valeur,Essentiel en hiver,Septembre 2025,En ligne,1452.02,146,3978.53,2.74,9.95,200112,7624,3.81,2025-09-09
Créa Podcast AG1 Powder - Pierre,AG1 Powder,Pierre Moreau,Podcast,Santé,Mon cœur me remercie,Juillet 2025,En ligne,2855.81,148,2741.58,0.96,19.30,292994,6094,2.08,2025-07-22
Créa Motion/Vidéo Vitamine D3+K2 - Alex,Vitamine D3+K2,Alex Johnson,Motion/Vidéo,Convenience,Emportez AG1 partout,Novembre 2025,En pause,1179.97,64,2135.75,1.81,18.44,58615,1659,2.83,2025-11-14
Créa Motion/Vidéo Omega-3 - Sarah,Omega-3,Sarah Martin,Motion/Vidéo,Valeur,Économisez avec le bundle,Juillet 2025,Arrêtée,2258.07,64,5351.63,2.37,35.28,133231,3970,2.98,2025-07-08
Créa Motion/Vidéo Vitamine D3+K2 - Dr.,Vitamine D3+K2,Dr. James Smith,Motion/Vidéo,Accessoire,Économisez avec le bundle,Août 2025,En ligne,562.54,149,1119.45,1.99,3.78,104984,2646,2.52,2025-08-16
Créa Motion/Vidéo Vitamine D3+K2 - Claire,Vitamine D3+K2,Claire Anderson,Motion/Vidéo,Testimonial,Pourquoi les nutritionnistes recommandent AG1,Octobre 2025,En pause,2488.57,114,2214.83,0.89,21.83,201947,7815,3.87,2025-10-12
Créa Podcast AG1 Travel Packs - Camille,AG1 Travel Packs,Camille Rousseau,Podcast,Accessoire,Emportez AG1 partout,Juillet 2025,Archivée,1703.05,87,4564.17,2.68,19.58,87120,2570,2.95,2025-07-25
Créa Motion/Vidéo Shaker - Dr.,Shaker,Dr. Robert White,Motion/Vidéo,Valeur,Ne manquez jamais votre dose,Septembre 2025,Arrêtée,2901.42,78,7688.76,2.65,37.20,251014,9614,3.83,2025-09-24
Créa UGC AG1 Travel Packs - Claire,AG1 Travel Packs,Claire Anderson,UGC,Éducation,L'importance d'un bon mélange,Octobre 2025,En ligne,1847.58,70,1866.06,1.01,26.39,248932,5377,2.16,2025-10-17
Créa Podcast Abonnement - Marie,Abonnement,Marie Dubois,Podcast,Convenience,Ne manquez jamais votre dose,Novembre 2025,En pause,1101.85,129,2710.55,2.46,8.54,161992,3272,2.02,2025-11-05
Créa Motion/Vidéo Omega-3 - Alex,Omega-3,Alex Johnson,Motion/Vidéo,Testimonial,L'importance d'un bon mélange,Septembre 2025,En pause,1847.42,29,1902.84,1.03,63.70,217493,8460,3.89,2025-09-21
Créa UGC Abonnement - Dr.,Abonnement,Dr. Michael Lee,UGC,Testimonial,Pourquoi les nutritionnistes recommandent AG1,Août 2025,En pause,1457.90,34,2478.43,1.70,42.88,157215,3946,2.51,2025-08-14
Créa UGC Abonnement - Tom,Abonnement,Tom Brown,UGC,Santé,N'oubliez plus jamais,Novembre 2025,En pause,1929.95,134,5230.16,2.71,14.40,255226,5385,2.11,2025-11-05
Créa Image statique Abonnement - Kevin,Abonnement,Kevin Taylor,Image statique,Convenience,Ne manquez jamais votre dose,Novembre 2025,En ligne,538.79,43,1196.11,2.22,12.53,231339,5228,2.26,2025-11-09
Créa Motion/Vidéo Bundle Complet - Emma,Bundle Complet,Emma Wilson,Motion/Vidéo,Accessoire,Le meilleur rapport qualité-prix,Septembre 2025,Arrêtée,2431.75,61,7343.89,3.02,39.86,201935,4584,2.27,2025-09-24
Créa Image statique Bundle Complet - Julie,Bundle Complet,Julie Bernard,Image statique,Convenience,Ne manquez jamais votre dose,Octobre 2025,Archivée,2571.98,43,6609.99,2.57,59.81,91949,2565,2.79,2025-10-28
Créa Image statique Shaker - Julie,Shaker,Julie Bernard,Image statique,Éducation,Pourquoi les nutritionnistes recommandent AG1,Novembre 2025,Arrêtée,2310.25,116,6607.32,2.86,19.92,87119,2709,3.11,2025-11-05
Créa Image statique Vitamine D3+K2 - Paul,Vitamine D3+K2,Paul Martinez,Image statique,Testimonial,Pourquoi les nutritionnistes recommandent AG1,Octobre 2025,En ligne,2868.84,57,8549.14,2.98,50.33,277571,10242,3.69,2025-10-23
Créa Témoignage Bundle Complet - Dr.,Bundle Complet,Dr. James Smith,Témoignage,Accessoire,Mon cœur me remercie,Septembre 2025,Arrêtée,2375.89,141,7293.98,3.07,16.85,175577,4916,2.80,2025-09-01
